Age,Experience,Department,Education,Salary
52.0,35.0,HR,Bachelors,37559.44594690031
58.0,,HR,Masters,30131.194801589638
54.0,27.0,Sales,Masters,43092.552480969076
41.0,26.0,Marketing,Masters,67733.33114570362
46.0,26.0,Sales,Diploma,84647.26023141312
48.0,30.0,Marketing,PhD,45396.22262489859
52.0,37.0,Sales,Bachelors,75891.58290154484
50.0,,Sales,Bachelors,40881.265226451076
38.0,17.0,IT,Masters,18838.96420827158
49.0,26.0,HR,Bachelors,61314.13392169116
40.0,13.0,Sales,Bachelors,43922.2113019335
50.0,32.0,Sales,PhD,82870.29411941674
20.0,2.0,Finance,Masters,8579.822770258663
35.0,15.0,HR,PhD,83940.49062502915
42.0,16.0,Finance,Diploma,66675.75984782234
59.0,30.0,HR,Diploma,53731.14639657219
48.0,31.0,Finance,Diploma,50320.43312302223
20.0,7.0,Sales,Masters,24862.85196697074
57.0,31.0,Sales,Bachelors,56445.98958781689
41.0,21.0,IT,Masters,44040.957668865325
49.0,28.0,Finance,Masters,60106.931203709166
39.0,14.0,Marketing,Bachelors,36784.50008472541
40.0,16.0,IT,PhD,64024.45537244994
19.0,5.0,Finance,Diploma,35875.6904674967
44.0,27.0,Finance,PhD,47747.74458111402
59.0,38.0,IT,Diploma,75764.29872669085
19.0,9.0,Sales,Masters,12862.145547033717
43.0,26.0,Finance,Diploma,55914.82528415701
34.0,7.0,Sales,Masters,35983.5700461415
57.0,30.0,IT,PhD,32837.242043913255
50.0,34.0,Sales,Masters,31572.450806472385
26.0,0.0,HR,PhD,45155.175044123665
56.0,28.0,Marketing,Bachelors,66841.8603552604
46.0,22.0,Finance,Bachelors,50188.37644451539
59.0,41.0,Marketing,Bachelors,88549.86664682085
43.0,,Sales,Masters,50214.52272791903
52.0,30.0,Finance,Bachelors,72747.07979116823
42.0,15.0,Sales,Diploma,48304.86880776781
41.0,12.0,HR,PhD,35462.856515970125
30.0,7.0,IT,PhD,19737.031228499865
56.0,30.0,HR,Masters,37436.67317179301
46.0,22.0,HR,Masters,59023.57761946395
32.0,11.0,IT,Masters,30561.12727688394
25.0,2.0,Sales,Bachelors,-5287.900431178226
38.0,20.0,Finance,Bachelors,46861.19421634556
